Top level,Mid level,Industry,Advanced Manufacturing,Clean Energy,Creative Industries,Defence,Digital and Technologies,Financial Services,Life Sciences,Professional Services,Education,Hospitality & live entertainment,Environment & Agriculture,Raw Materials,Wholesale & retail,Construction / Property,Care & wellbeing services,Transport,Energy,Food Supply Chain,Industry_Clean
"Creative, media and publishing",Fashion,Accessories for tech devices,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | FASHION | ACCESSORIES FOR TECH DEVICES"
"Creative, media and publishing",,Arts and crafts,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | NAN | ARTS AND CRAFTS"
"Creative, media and publishing",Media and publishing,"Books, comics and graphic novels",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | MEDIA AND PUBLISHING | BOOKS, COMICS AND GRAPHIC NOVELS"
"Creative, media and publishing",Fashion,Clothes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | FASHION | CLOTHES"
"Creative, media and publishing",Media and publishing,Films and TV,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | MEDIA AND PUBLISHING | FILMS AND TV"
"Creative, media and publishing",Fashion,Footwear,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | FASHION | FOOTWEAR"
"Creative, media and publishing",,"Gifts, cards and stationery",False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | NAN | GIFTS, CARDS AND STATIONERY"
"Creative, media and publishing",,Graphic design,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | NAN | GRAPHIC DESIGN"
"Creative, media and publishing",Fashion,Jewellery and other accessories,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | FASHION | JEWELLERY AND OTHER ACCESSORIES"
"Creative, media and publishing",Media and publishing,Music,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | MEDIA AND PUBLISHING | MUSIC"
"Creative, media and publishing",,"Music venues, galleries, theatres and museums",False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | NAN | MUSIC VENUES, GALLERIES, THEATRES AND MUSEUMS"
"Creative, media and publishing",Media and publishing,"Newspapers, magazines and online publishing",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | MEDIA AND PUBLISHING | NEWSPAPERS, MAGAZINES AND ONLINE PUBLISHING"
"Creative, media and publishing",,"Painting, sculpture and other artworks",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | NAN | PAINTING, SCULPTURE AND OTHER ARTWORKS"
"Creative, media and publishing",,Performance art,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | NAN | PERFORMANCE ART"
"Creative, media and publishing",Media and publishing,Photography and videography,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | MEDIA AND PUBLISHING | PHOTOGRAPHY AND VIDEOGRAPHY"
"Creative, media and publishing",Media and publishing,"Radio series, podcasts, audio books and other audio content",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | MEDIA AND PUBLISHING | RADIO SERIES, PODCASTS, AUDIO BOOKS AND OTHER AUDIO CONTENT"
"Creative, media and publishing",,"Scenery, sets, props and costumes",False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | NAN | SCENERY, SETS, PROPS AND COSTUMES"
"Creative, media and publishing",,Social media,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | NAN | SOCIAL MEDIA"
"Creative, media and publishing",Media and publishing,Video content (including pre- and post-production),False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | MEDIA AND PUBLISHING | VIDEO CONTENT (INCLUDING PRE- AND POST-PRODUCTION)"
"Creative, media and publishing",Media and publishing,Video games,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"CREATIVE, MEDIA AND PUBLISHING | MEDIA AND PUBLISHING | VIDEO GAMES"
Education,,Courses and educational material,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,EDUCATION | NAN | COURSES AND EDUCATIONAL MATERIAL
Education,,Higher education,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,EDUCATION | NAN | HIGHER EDUCATION
Education,,"Languages, translation and interpretation",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,"EDUCATION | NAN | LANGUAGES, TRANSLATION AND INTERPRETATION"
Education,,Nurseries,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,EDUCATION | NAN | NURSERIES
Education,,Schools,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,EDUCATION | NAN | SCHOOLS
Education,,"Tutoring, training, coaching and skills development",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,"EDUCATION | NAN | TUTORING, TRAINING, COACHING AND SKILLS DEVELOPMENT"
